0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,Emotion
-591.9997,97.22674,-13.07489,26.498436,0.16815297,7.52244,-7.7664266,-4.0181947,-10.116262,2.168727,-2.4736736,-2.8682027,2.2947085,-5.863531,2.3015559,-4.920339,-0.51007056,-6.174831,1.8174219,-0.2262836,-5.237577,0.80499345,-3.3297288,-0.34585768,-2.2615314,1.2735318,-0.39373726,3.1817985,2.8088021,3.6157804,5.251038,1.949447,4.316744,0.88186073,2.2627606,1.4222832,1.6239704,0.81441677,-0.3841204,-0.9092581,-0.3149653,0.79443514,-0.5531162,0.4857548,-0.82459307,0.87919325,1.6578099,3.0456483,1.9322695,1.1626081,1.8766328,1.8108397,2.9180257,0.7616088,1.3632728,0.95697397,1.1220393,0.44927692,-0.0904326,1.4263484,1.3930397,0.07855753,-1.6500738,-0.3568991,0.41473907,0.00087031483,-1.4457465,-1.041676,-0.24171907,-0.81726766,-0.36716965,0.015343381,-0.42713198,-1.3354526,-1.2177784,-1.2744851,-1.2528683,-1.4040228,-0.9621168,-0.66040665,-0.80025893,-0.6517103,-0.48304772,-0.31096065,-0.5705575,-0.12206919,-0.6578791,-0.8039848,0.34377086,0.47307333,-0.2163426,-0.17269655,0.016261728,-0.7323027,-0.71826005,-0.3036502,-0.4081433,0.026366852,0.37328595,-0.05681831,0.2030498,0.6158774,0.84552985,0.85865843,0.28460884,0.03284571,0.20035565,0.20443144,0.06208813,0.17964773,0.15891434,0.17902118,-0.20165306,-0.014558296,0.27327144,-0.51455915,0.021366006,0.5290011,0.058086056,0.15910752,0.2815789,0.233241,0.2686902,0.5208123,0.6609122,0.23912041,-0.18145023,-0.17015043,8
-566.9367,85.34835,-19.199274,23.830524,0.6207178,5.085446,-3.2276227,0.058049873,-7.7078805,1.7954394,0.0042773196,-4.085617,-1.707185,-3.474853,4.4426823,-1.3162904,0.83000165,-5.4019217,1.8274684,-1.3362194,-3.7658334,3.2461119,0.16475132,1.9999775,0.07658951,3.5319908,0.663943,2.3705256,-0.26391956,0.109299995,2.0881352,-1.0956903,1.583839,-0.7260245,0.73908687,0.7491278,2.6403155,1.2118055,0.6397913,1.1308738,0.50625503,2.308333,1.2413311,1.5817024,-0.62080324,0.12180203,0.7418484,1.0782298,1.4106442,1.1264977,0.93016356,1.1492859,1.513907,0.98599505,2.4663765,1.5727512,2.2480063,0.885252,-0.2906662,-0.12140361,-0.06413328,0.15301697,-0.8536558,0.6568189,-0.26134548,-0.7205022,-0.68416077,-0.20823108,0.16142234,-0.7793769,-0.35040206,0.5484985,0.30156773,-0.7642232,-0.2015533,-0.1245177,0.17733073,-0.5486823,-0.50918865,0.2560322,0.12915808,0.3035818,-0.33495298,0.25799334,0.5241497,-0.061639693,-0.8760782,-0.6051324,0.6903879,1.1097738,0.14706656,-0.6310638,0.01432198,0.10764394,0.035779297,0.19218157,0.36000714,0.39544335,0.43041635,-0.029700965,0.13106576,0.4366117,0.07768866,0.48833814,0.06609585,-0.35258564,0.26097575,0.5153943,0.13769595,0.11657088,0.25680158,0.31654873,0.1267509,0.04795033,0.09440932,-0.13062873,0.22206746,0.22398233,0.52126884,0.38576508,-0.074308455,0.16565047,0.27026656,0.19950218,0.0334728,0.20133719,-0.10502057,-0.04507733,8
-593.2973,82.6276,-7.1314783,27.835999,8.26822,13.455954,-2.5185447,3.4497478,-2.9758213,5.427316,2.1386847,4.071883,5.302584,-1.5415145,9.08158,0.35775313,3.7040303,-0.5339443,5.3925734,2.640144,-0.8263638,3.6748533,0.12629765,3.4806685,0.8425999,2.3118775,-0.4355334,3.4537795,1.1456605,1.840948,3.7020464,0.4474694,2.9426656,-0.36918405,1.8565012,1.5636872,2.44256,1.4293063,1.1892796,0.5583051,0.26293546,1.5564077,-0.18804468,0.22475423,-1.6584285,0.23866566,0.67429334,2.688101,2.0394194,1.7143257,2.7806652,3.5520074,6.322182,3.873673,5.148238,3.781092,2.4009588,1.5072405,1.5076369,3.0535228,1.924228,1.89699,0.3344465,0.7284597,1.1842012,1.5099308,1.3796453,0.5089159,-0.684595,-0.5079331,1.1682785,1.7088093,0.6939386,-1.6626298,-0.41455725,0.87571424,0.8191615,0.026932133,-0.67435575,-0.18054678,0.461428,0.5259119,-0.40254986,-0.62909126,-0.21079065,0.55518043,-0.3726384,-0.43152416,0.10753988,0.22229734,0.47901258,-0.0017637482,-0.46869564,-0.53244007,0.4763124,0.44743618,0.1850687,0.64909,1.0239573,-0.13528615,-0.36246926,0.71857154,0.42804697,0.35250068,0.23058404,0.5153574,0.34171426,-0.013384789,0.004992692,0.17987244,0.3878483,0.26422954,-0.10496464,-0.17979524,0.42989007,0.19430745,0.2446238,0.18705888,0.38431707,0.5288287,0.03234772,0.29051137,0.56691206,0.2526578,-0.057700925,0.23706216,-0.06685137,0.0059777647,6
-559.1192,85.12914,-17.95264,31.924652,-2.6759338,13.277978,-13.155608,-1.4019662,-4.600488,5.47371,-0.8345983,0.1180111,7.102411,-3.361545,5.2696733,-4.5516043,3.4283519,-1.7614998,3.0774128,-0.0111408625,-1.9300382,1.9713795,-2.7142143,1.2208308,-1.858703,0.780155,-1.6075768,2.2365975,-1.5717134,0.5897413,2.013544,2.1743386,3.5905385,-0.6866699,3.8562028,1.6872388,3.8884108,1.9660342,3.3158596,1.8664262,1.44112,2.5044382,0.51981586,3.9263747,1.4541456,2.5871112,1.9299562,3.3814256,3.1181204,3.2793827,2.5618014,2.857867,3.4743998,0.7570763,3.412738,1.3620896,2.2330093,1.2358049,1.5495145,2.4297385,1.2961994,1.8594886,0.39151847,1.7845079,1.6443093,1.4131417,0.17928495,0.1599714,0.007846482,-0.061282963,0.7984694,1.0932555,1.01928,0.098810814,0.78160673,0.28700137,0.534494,-0.21433412,-0.3093558,0.4075559,0.72084725,0.81768966,-0.19416063,0.04186934,0.3800034,0.85992837,0.40553775,0.6716195,1.7144823,0.8221708,-0.6187255,-0.14878067,0.13321967,-0.18455096,0.22878888,0.5757355,0.34888878,0.14852819,0.77002835,-0.0917778,-0.064642996,0.56682545,0.6835439,0.6580261,-0.1084389,0.0999532,0.62327784,0.47067285,-0.27949232,-0.024435185,0.059090275,0.16498123,0.50287366,0.07400803,0.004106577,-0.0014593296,0.20894115,0.1054522,0.014828576,0.3282562,0.10302437,-0.11520608,0.44398984,0.3154113,0.10173347,0.24007201,-0.18726386,0.2676295,6
-549.54266,106.99622,-23.971502,28.021616,-2.8132305,8.239107,-16.29555,-1.3400676,-12.077133,-0.38619292,-3.015348,-7.052693,2.731194,-8.035598,4.545012,-5.2187443,-1.4977311,-6.56689,-2.9181054,-4.051651,-4.951076,0.7904964,-5.526497,-0.08207063,-4.2618275,-0.96497595,-1.1561054,0.06555742,-1.2678897,0.3142696,1.2227436,-1.1518075,1.7466382,-2.7287874,1.9481274,1.2031206,0.54008275,1.1363115,0.78538316,1.4229835,1.8279628,4.0497465,2.607107,2.2490268,1.0843208,1.6525042,3.344378,5.634311,4.7032084,3.8404465,2.3080654,2.413253,2.995619,2.0363216,3.9034288,2.5569823,2.5275571,1.0011462,1.3005955,1.961368,1.9561397,2.2598755,1.1536922,1.7412626,0.5789644,0.8956387,0.79042476,0.72253954,0.46724772,0.8319917,1.8772869,1.7324591,0.37903762,-1.099495,-0.07805536,0.37404713,0.52445835,-0.48390836,-0.03578491,0.79842246,0.7385448,1.1438627,0.33758217,0.11198223,0.5222348,0.19876468,-0.3878732,0.6493028,1.0845786,0.35057744,-0.32329226,0.13311009,0.1804716,-0.54435015,0.20289887,0.9861288,1.0060871,0.36193776,0.42433906,0.03738983,-0.10749378,0.6047705,0.8225007,0.92195904,0.5085375,0.53136903,0.80979574,0.7404217,0.5657353,0.5415147,0.34646696,0.26903534,0.7053061,0.54136664,0.15958731,0.5532669,0.83689255,0.51418215,0.3272154,0.3997259,0.055916738,-0.243394,0.28739223,0.3604871,0.32356882,0.21557972,-0.24145211,0.17751512,7
-499.09717,104.31639,-25.67099,29.324501,-1.4402119,7.4120483,-14.143322,-1.2532663,-15.237179,-0.41806495,-5.243785,-7.0602283,0.35068318,-8.871394,7.4193892,-6.4916825,-2.1236145,-4.6545496,-0.6924339,-4.1320333,-7.3970795,0.34637147,-4.243583,-2.760639,-3.2157433,-2.1224046,-3.9269943,3.1008108,0.44867203,2.9596965,3.433563,2.3717923,3.67909,-1.1239706,0.9127197,-1.5002239,0.9395991,-1.7143353,0.1370068,0.08442585,0.37296942,3.1153924,1.322299,1.8165895,-0.24984917,2.4797451,3.9099844,5.4362617,2.2138464,0.71118695,0.5256686,0.91413456,1.861838,1.0614868,2.206811,1.0116651,2.5977883,0.97204983,2.3775432,2.85668,2.012313,1.313924,-0.42393723,1.4437566,1.4227469,0.94119865,-1.1088122,-0.25413007,0.90613556,1.376543,1.2047375,1.240007,1.1016723,-0.63356483,-0.2881408,0.27656174,0.4223345,-0.94081527,0.27845836,1.113571,0.698886,0.36376143,-0.26779896,0.2592788,0.2275836,-0.10228736,-0.42465743,0.12020267,0.40606573,0.5569824,-0.33569276,-0.6543666,-0.09770489,-0.11031967,0.03305246,0.5817371,0.0019372794,-1.0367905,-0.23172113,-0.34724662,-0.39063323,-0.1602908,0.1324576,0.2164387,0.041207902,-0.059253164,-0.25289446,0.47203618,0.18528345,-0.22664922,8.37E-06,0.021966647,0.08343094,0.08308057,-0.111790396,0.111930706,0.07213438,0.05861825,0.7820897,0.7823637,-0.037007067,-0.34790897,0.25491846,0.1194382,-0.35054052,-0.014235761,0.11155985,-0.34590378,7
-579.303,118.50251,-5.5131207,32.29425,0.2651644,6.298477,-4.873275,2.5356588,-6.670231,-4.09595,-3.238189,-0.29933307,-2.165829,-4.3712554,4.302681,-6.0766363,0.63656074,-5.146243,2.200283,-1.9678063,-3.118761,1.1534655,-5.771805,0.7133668,-3.9876802,-0.37575918,-2.8838353,-1.3148178,-1.3974643,-1.0171409,1.0320567,-1.6792107,0.8748741,-3.8358698,0.2245788,-0.30788237,0.094214685,0.7409527,-2.1159747,-1.990129,-3.08238,-0.689529,-0.0680339,1.0813764,1.3241066,2.542209,2.5501966,2.9158905,2.8567543,1.5724673,2.2772357,3.3645554,5.543889,6.4678683,6.6668134,6.108164,4.9786587,1.8203881,0.53497183,1.3127044,2.4431686,2.1681712,0.79121363,0.35611954,-0.09111032,1.5357114,0.38723367,-0.23853636,0.28063723,-0.24458216,0.1754512,0.3058201,0.43464333,-0.5138328,-0.91794914,-0.6812506,0.23641406,0.52498543,-0.4598889,-0.9825039,-0.8616771,-0.003794318,0.28001034,-0.19931772,-0.6768255,0.14554922,1.0096623,0.3108902,0.33027843,0.5952215,0.29814193,-0.18402265,-0.7921007,-0.47474065,-0.32966888,-0.33784527,-0.50812536,-0.40009138,-0.2043683,-0.78909045,-0.74237573,0.040998943,0.45789188,-0.5201912,-0.45962572,0.31785098,-0.2527094,-0.39354628,0.21198373,-0.09540641,-0.3337035,0.09970444,-0.34660456,-0.24531175,0.1683415,0.2380245,-0.059741754,-0.26614526,0.07797514,0.031253096,0.3158024,0.3243564,-0.022787813,0.40734562,0.61887604,-0.08296752,-0.36181623,-0.1017638,2
-490.36456,75.728,-22.863142,32.90017,-3.339611,9.092839,-8.582639,6.8239655,-9.105797,3.2415247,-0.83331716,-3.1543999,6.591061,-4.48506,7.245272,-3.1334841,2.17613,-2.0809004,2.005044,-0.27257335,-2.1265802,1.5400501,-1.4410961,1.2426378,-1.9298524,1.7201147,-2.3206692,2.4089823,-3.5773814,-0.5804017,2.4734192,-0.20765804,3.144615,0.5351817,6.963992,5.047928,8.993151,7.763492,8.148865,7.464722,4.1834297,5.830088,1.3324933,3.124962,1.9001501,2.1794748,3.1956654,3.6853688,1.8689593,2.434984,2.875097,2.0772035,3.6151915,0.5361788,1.6643138,1.782154,1.0860019,-0.074532755,-0.4235636,-0.07668081,0.11888282,0.46834922,-1.114571,-0.20250948,1.0662643,0.29132834,-0.7226809,0.42510003,-0.2325805,0.12381117,-0.43880865,-0.2886376,1.4853948,0.20930094,-0.094936855,-0.041551508,0.40621695,-0.21794032,-0.008209874,0.34159362,0.6604395,0.8913251,-0.12187411,-0.0486834,0.54780316,0.79546505,-0.07168543,-0.0120576415,0.68209183,0.79313517,-0.011665846,0.11082047,0.3505778,-0.32980296,-0.15144473,0.53939205,0.28099945,0.4883524,1.4354812,0.08251043,0.6057389,1.3370647,0.6358678,0.66553164,0.41205046,0.46603337,0.4635398,0.66051126,0.5640344,0.6278276,0.52732795,0.59865993,0.16041827,0.03850674,0.741749,0.076726526,0.43612948,0.68662345,0.3452082,0.64025295,0.493834,0.6023981,0.51292646,0.31247255,0.44333297,0.03759007,-0.24101394,0.074041024,6
-619.8125,100.98995,-13.43958,26.886032,1.8484976,9.37235,-4.8215513,4.2923336,-6.1423593,-1.7073,0.044142056,0.8720241,3.1264749,-1.6082916,5.0701156,-3.0517716,1.5329012,-3.6147275,3.3456285,-1.1635274,-2.5780718,1.0214425,-4.5551386,-0.17705214,-4.570016,0.5480773,-2.7528727,0.28532147,0.050065055,-0.6820087,1.1860092,-1.9344224,1.8545461,-1.9729756,0.8004993,-0.21329144,0.16734606,0.5246554,-0.5879767,0.57575387,-1.2284324,0.34274638,0.36198208,1.0104487,0.30151647,1.2987597,1.4189985,1.6076678,0.78633714,-0.73772526,-0.9949535,-1.3099306,0.56091875,0.31100592,0.84720916,0.8578459,1.1085843,0.67571646,0.10106125,0.93414974,1.6380005,1.8926871,1.4675723,1.9638067,1.8842894,1.9544456,0.690779,0.24094835,0.9210206,1.1342936,0.5236908,-0.01924966,0.3299605,-0.20723647,-0.03357382,-0.21919137,-0.00506575,0.37626258,0.047328483,0.11991011,0.13796662,0.14387062,0.6511353,0.48425692,-0.03778753,-0.07371727,-0.108087175,0.6414576,0.44949678,0.34298083,0.4354715,0.10063514,-0.041256662,-0.38260776,-0.32351983,-0.28959373,0.29407284,0.352566,0.034180757,0.17793065,0.047698006,0.25125217,0.5914863,0.1010528,0.06732392,0.84892744,0.28269082,-0.36931106,0.06694825,0.5751398,0.53064704,0.21174926,0.29905686,0.20589794,0.17128633,0.20615198,-0.08994048,0.09746964,0.39427194,0.30027565,0.4174044,0.43237197,0.22064236,0.59783995,0.58984363,-0.022207389,0.0068708593,-0.0075769085,1
-592.23895,90.74149,-21.858797,24.084145,5.641755,-0.5780175,-5.609635,1.3365061,-9.615002,-0.44141412,2.03248,-1.7639397,1.6035109,-1.3519752,1.8799787,-2.5932758,0.8413318,-4.7620363,2.418146,0.56714803,-3.1410143,1.1506646,-1.9610645,0.29063347,-2.6481872,0.8048689,-0.69866604,0.065642096,-1.251464,-0.31426755,1.3079555,-1.3848654,0.9133339,-2.7342803,-0.7251251,-0.15268834,-0.49080688,-0.47009975,0.42041764,0.09237544,-1.2246834,0.7956078,-0.5832754,-0.7240959,-1.1910759,0.19345963,0.9649106,1.7783599,1.0898899,-0.32400948,-0.2051422,1.2463715,4.0858216,3.4881995,3.7020755,2.8735871,2.7002466,1.1803427,-0.16798578,0.88024694,1.5624536,1.315662,-0.19053341,1.0778143,1.547138,1.681541,1.5050135,1.474649,1.3794729,0.6897482,0.5590121,1.1054596,1.4411889,-0.1864293,-0.2644506,0.048240986,0.8148726,0.18254565,-0.617547,-0.11896092,-0.085730426,0.5091122,0.19778615,-0.03970296,-0.06829656,0.7986962,0.3469521,-0.6167826,0.008606575,0.4935774,0.6003525,0.015887037,-0.37663698,-0.5257555,0.0441774,0.33161262,-0.37692678,-0.34903148,0.5485098,-0.01219664,-0.49564624,0.26431346,0.8001399,0.7965797,-0.011390494,0.08073572,0.10185338,-0.061887305,0.043706648,0.23870766,0.27333704,0.072259225,0.1667822,0.20765221,0.4908881,-0.09179209,-0.2258094,0.122696795,0.118884295,0.29489395,0.17557801,-0.07804591,-0.013892518,0.44055736,0.51604307,-0.041636717,-0.26944214,0.6111634,3
